name,temp_note,name_note,date,item,cost,notes,return,seasonal,breakfast,lunch,dinner,burger,unknown_burger,primary meal,superlative,coordinates,address
Common or Garden Pub,,,2025-10-26,the signature double,19,"solid big mac-esque burger. fries meh. good for watching football, or football. ",maybe,FALSE,FALSE,FALSE,TRUE,TRUE,,dinner,,,
Cumberland Farms,,,2025-10-21,pepperoni pizza,2.99,"cumby's pizza was...good. soft crust like a warm hug. not overly greasy. a whopping 680 calories, but i still might be back to dine on the angus burger.",maybe,FALSE,TRUE,TRUE,TRUE,TRUE,,lunch,,,
Dunkin' Donuts,,,2025-10-21,"sausage, egg, and cheese",4.39,"the speedy preparation was too good to be true, as i bit into an unexpectedly cold slice of cheese.",no,FALSE,TRUE,FALSE,FALSE,FALSE,,breakfast,,,
East Asian Cuisine,,The,2025-11-04,general tao's chicken,16,"the steamed broccoli was a nice counterpoint to the very fried, very sweet-sauced chicken. the space is huge.",no,FALSE,FALSE,TRUE,TRUE,FALSE,,lunch/dinner,,,
Elm,,The,2025-10-25,the elm burger,22,the quintessential fancy bar burger. quite tasty. didn't care for the modern country music. ,yes ,FALSE,FALSE,TRUE,TRUE,TRUE,,dinner,,,
Extra Special Teas 2,,,2025-10-28,extra special melt,10.5,the delightful side salad was the star here. need to try the breakfast situation.,maybe,FALSE,TRUE,TRUE,FALSE,FALSE,,lunch/dinner,,,
Fairview Hospital,,,2025-10-27,"kielbasa, pierogies, cabbage",9.5,"today, a taste of poland. tommorrow, who knows? as incubus once said, whatever tomorrow brings, I'll be there.",maybe,FALSE,TRUE,TRUE,FALSE,FALSE,,breakfast/lunch,,,
Farm Country Soup,,,2025-10-29,mushroom cheese handpie,9,"pretty yummy, very cheesy. also had a lentil soup which was nice.",maybe,FALSE,FALSE,TRUE,FALSE,FALSE,,lunch,,,
Fiddleheads Grille,,,2025-10-31,fish and chips,22,"i didn't expect fish and chips to be a regional delicacy in the deep south of great barrington. and yes, fiddleheads is in great barrington.",no,FALSE,FALSE,TRUE,TRUE,TRUE,,dinner,,,
Fiesta Bar and Grill,,,2025-11-01,chef's special quesadilla,18,crispy tortilla filled with stuff. the rice and beans were on point. ,maybe,FALSE,FALSE,TRUE,TRUE,TRUE,,lunch/dinner,,,
Four Brother's Pizza,,,2025-11-02,brothers,17.45,"i didn't see them, but i like to think that the four toppings were each placed by one of the four brothers, and represent who they are. good crust, very cheesy.",maybe,FALSE,FALSE,TRUE,TRUE,TRUE,,lunch/dinner,,,
Fuel,,,2025-11-02,chicken blt,18,a fine sandwich. chicken a tad dry. good homemade chips. ,maybe,FALSE,TRUE,TRUE,FALSE,TRUE,,breakfast/lunch,,,
GB Eats,,,2025-11-03,potato cake benedict,16,i think the only place you can get breakfast for dinner in town? the poached eggs were pillowy.,yes ,FALSE,TRUE,TRUE,TRUE,TRUE,,breakfast/lunch/dinner,,,
Great Barrington Bagel Company,,The,2025-10-30,egg w/ sausage and cheese,7.51,"a utilitarian breakfast sandwich. a little bland, but got a free cup of joe.",no,FALSE,TRUE,TRUE,FALSE,FALSE,,breakfast,,,
Great Barrington Little League Snack Bar,,,2025-10-04,slice of cheeze pizza,3,"i don't think this counts, but I couldn't resist a room temp sllce from Big Y, plus a free kids baseball game",no,TRUE,FALSE,TRUE,FALSE,FALSE,,dinner,,,
Great Barrington Pizza House,,,2025-11-04,special,13.5,four unique meats wasn't enough to overcome the colossus of cheese. come here to support big dairy.,no,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,
Great Wall Chinese Food,,,2025-11-06,house special lo mein,9.2,"it tasted exactly like my childhood chinese restaurant, so bonus points for nostalgia. veggies were scarce, but flavor was there. the piles of boxes in the kitchen was a little disconcerting.",no,FALSE,FALSE,TRUE,TRUE,FALSE,,lunch/dinner,,,
Guido's Fresh Marketplace,,,2025-11-05,the bird,13.99,"a comforting sandwich, but lacked pizazz. some hot sauce and salt improved things.",maybe,FALSE,FALSE,TRUE,TRUE,TRUE,,lunch,,,
Ilse coffee,,,2025-11-21,frittata ,17,it's only been open two days but they make a deliciously fluffy egg cube. a bit pricey.,yes,FALSE,TRUE,FALSE,FALSE,FALSE,,breakfast,,,
JuJu's,,,2025-11-05,popcorn chicken,10,a good fried chicken with some yummy sauces. but it was literally just chicken so i had to have some soft serve to make it nutritionally complete.,yes,FALSE,FALSE,TRUE,TRUE,FALSE,,lunch/dinner,,,
Koii Asian Gourmet,,,2025-11-07,general tso's chicken,19,dissapointingly chewy chicken. breaking my own rules based on other dishes i've had to move this from a no to a maybe.,maybe,FALSE,FALSE,TRUE,TRUE,FALSE,,,,,
Los Lopez Taco Truck,,,2025-10-30,al pastor and carnitas tacos,7,"juicy, flavorful meat on a hot corn tortilla.",yes,FALSE,FALSE,TRUE,FALSE,FALSE,,lunch,,,
Manhattan Pizza,,,2025-11-07,meat lovers,19.5,"a solid pie, best fresh out of the oven. the small was large. i've noticed that people love the multi-meat meals.",yes,FALSE,FALSE,TRUE,TRUE,TRUE,,lunch/dinner,,,
Market 32,,,2025-11-17,hot bar,7,"$9.99/lb. with no hesitation the popular items were burnt ends, lo mein, and chicken wings. burnt end gave microwave meat vibes. wings were on point.",no,FALSE,FALSE,FALSE,FALSE,FALSE,?,,,,
Marketplace Kitchen Table,,The,2025-11-10,oooh mexico sandwich,11.99,"i didn't expect this to be the pick. a satisfying panini, though I feel strongly that lettuce has no place on a hot pressed sandwich.",maybe,FALSE,TRUE,TRUE,TRUE,TRUE,,,,,
Marketplace Specialty Shop ,,The,2025-11-08,roasted turkey sandwich,10.99,"just like a deli sandwich i would have made for myself for school lunch, down to the pepperidge farm sliced bread. ",no,FALSE,FALSE,TRUE,TRUE,FALSE,,lunch,,,
McDonald's,,,2025-11-11,big mac extra value meal,10.49,"my excitement about my first visit to mickey d's in 15 years dissipated faster than my order was done (insanely fast). either my taste has changed or the quality has dropped, or both. ",no,FALSE,TRUE,TRUE,TRUE,TRUE,,,,,
Mill River Farm,,at GB Farmers Market,2025-10-11,breakfast burrito,10,"fine, missing a little something though",maybe,TRUE,TRUE,TRUE,FALSE,FALSE,,breakfast/lunch,,,
Momma Lo's BBQ,,,2025-11-16,ribs lunch special,13.75,good stuff. reasonable price.,yes,FALSE,FALSE,TRUE,TRUE,FALSE,,,,,
MoonCloud,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,
Myat Naing Sushi,,at Guidos,2025-11-05,spicy tuna,7.49,best grocery store sushi game in town. pretty good.,yes,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
No Comply Foods,,,2025-11-06,griddle cheeseburger,16,"i'm a bit burned out on burgers, but this rekindled the romance with the jalapeno relish and pickled onion. gold star for tip included.",yes,FALSE,TRUE,TRUE,TRUE,TRUE,,dinner,,,
Number Ten,,,2025-11-09,prime meatloaf,26,"pricey, but tasty. not the speediest service. they have all the fancy meats.",yes,FALSE,FALSE,FALSE,TRUE,TRUE,,,,,
Odd Bird Farm Bakery,,,2025-11-08,the big bird,10,"this will fill you up. fluffly eggs, flaky biscuit (a touch too salty for me). best spot in town if need a 6am breakfast sandwich. carry-out only.",maybe,FALSE,TRUE,TRUE,FALSE,FALSE,,breakfast,,,
Off The Shelf Farm,,at GB Farmers Market,2025-10-04,all day egg sandwich,8,slightly runny egg sandwich with flavorful onion jam and fresh arugula,yes,TRUE,TRUE,TRUE,FALSE,FALSE,,breakfast,,,
Pattiserie Lenox,,,2025-11-12,caprese baguette,18,"very good sandwich. baguette was crispy on the outside, soft on the inside. sticker shock though.",maybe,FALSE,TRUE,TRUE,FALSE,FALSE,,breakfast/lunch,,,
Pixie Boulangerie,,,2025-11-13,pork sausage handpie,7,"room temp meat isn't necessarily my thing, but it was pretty good, flaky crust. i'd need a few to fill me up.",maybe,FALSE,TRUE,TRUE,FALSE,FALSE,,breakfast,,,
Pleasant and Main,,,2025-11-20,open face breakfast croissant,13,the meal gave me diner energy. i was only charged $10 on account of my sunny disposition.,yes,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,
Prairie Whale,,,2025-11-14,cheeseburger,25,"actually the ""vermount cattlemen grass-fed cheeseburger."" it was good, but the most expensive burger in town it doesn't live up to the price tag. very good fries though.",maybe,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,
Robbie's Community Market,,,2025-11-14,vodka chicken parm,16,sandwich component quality was inconsistent. vibes were nice. one area was infested with babies.,maybe,FALSE,FALSE,TRUE,FALSE,FALSE,,lunch,,,
Rubi's Cafe,,,2025-11-17,classic grilled cheese,9.5,a lovely grilled cheese that comes with a side of second-hand smoke from lack of ventilation.,yes,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
Siam Square,,,2025-11-18,chicken pad thai,17.99,"it came out faster than my big mac (not a good thing). a bit too sweet, chicken kind of rubbery. ",no,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
Steam Noodle Cafe,,,2025-11-10,khao soi gai,18,"disclaimer: i had to get takeout since it was <a href=https://barringtoncrokinole.club target=_blank rel=noreferrer>crokinole night.</a> a nice steamy soup, good flavor. felt a little swollen after.",maybe,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
Subway,,at Mobil,2025-11-21,chicken bacon ranch ,8.69,"i opted for the 6 inch on the comforting italian herb and cheese. despite suspect chicken, you throw enough ranch on something and it improves.",maybe,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
Taft Farms,,,2025-11-19,the thanksgiving,14.95,"not the speediest during the lunch rush. a monster of sandwich, intended to induce a thanksgiving-esque coma. pretty tasty, except the bread was a little dry.",yes,FALSE,TRUE,TRUE,TRUE,FALSE,,,,,
Uva Pizza,sat lunch,,2025-11-22,uvetta,24.5,"it was fine, but the more i ate it the less impressed i was, especially for the price.",no,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
Vivaldi's Pizzeria,tue lunch,,2025-11-23,pepperoni pizza,8.98,"$4.49/slice. very economical. biggest slice in town by far, if that's your thing. good crust but not my ideal cheese to sauce ratio.",no,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,
Well,sun at 1,The,2025-11-23,smash burger,18,the doubled-up patty was filling. it tasted like an elevated big mac.,maybe,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,
Xicohtencatl Mexican Restaurant,monday dinner,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
